 Ranking , Company , Sector ,"G?nero
œÓÎ (ÌÂÚ ‚ ÓÒÌÓ‚ÌÓÈ Ú‡·ÎËˆÂ)", Country , Ventas , neto , oper , Activo ,"Pasivo total (mdp) 
—ÛÏÏ‡ Ô‡ÒÒË‚‡ (‚ ·‡Î‡ÌÒÂ) (ÏËÎÎËÓÌ˚ ÔÂÒÓ)", Empl , Posici?n en el ranking 2020 , Roe , Ranking Ganado 
67,Robert Bosch M?xico,Tecnolog?a diversificada,H,Alemania," 65†000,00 ", nd , nd , nd , nd ," 18†000,00 "," 66,00 ", nd ,-1
68,SuKarne,Agroindustria,H,M?xico," 64†897,00 "," 5†179,00 "," 7†933,00 "," 37†616,00 "," 15†323,00 "," 14†540,00 "," 71,00 "," 232,00 ",3
69,DeAcero,Siderurgia y metalurgia,H,M?xico," 64†000,00 ", nd , nd , nd , nd ," 8†000,00 "," 95,00 ", nd ,26
70,MetLife M?xico,Seguros y fianzas,M,Estados Unidos," 624†412,00 "," 30†785,00 ","-43†079,00 "," 133†284,00 "," 1†204†358,00 "," 1†750,00 "," 68,00 "," 24,00 ",-2
71,Industrias CH,Siderurgia y metalurgia,H,M?xico," 620†226,00 "," 94†255,00 "," 152†714,00 "," 673†663,00 "," 156†885,00 "," 6†502,00 "," 96,00 "," 182,00 ",25
72,Costco de M?xico,Comercio autoservicio,H,Estados Unidos," 60†000,00 ", nd , nd , nd , nd ," 11†000,00 "," 69,00 ", nd ,-3
73,Archer Daniels Midland M?xico (ADM),Agroindustria,H,Estados Unidos," 595†172,00 ", nd , nd , nd , nd ," 400,00 "," 77,00 ", nd ,4
74,Cin?polis,Entretenimiento,H,M?xico," 59†000,00 ", nd , nd , nd , nd ," 33†000,00 "," 118,00 ", nd ,44
75,Grupo Desc,Holding,H,M?xico," 58†758,00 "," 2†789,00 ", nd ," 65†149,00 "," 45†331,00 "," 24†348,00 "," 80,00 "," 141,00 ",5
76,Grupo Empresarial ?ngeles,Holding,H,M?xico," 58†000,00 ", nd , nd , nd , nd ," 30†000,00 "," 75,00 ", nd ,-1
77,Grupo Financiero Scotiabank Inverlat,Servicios financieros,H,Canad?," 56†072,00 "," 10†373,00 "," 13†459,00 "," 669†559,00 "," 597†550,00 "," 9†983,00 "," 65,00 "," 144,00 ",-12
78,AT&T M?xico,Telecomunicaciones,M,Estados Unidos," 55†682,00 "," 1†926,00 ","-1†588,00 ", nd , nd ," 17†114,00 "," 70,00 ", nd ,-8
79,Grupo Simec,Siderurgia y metalurgia,H,M?xico," 55†622,00 "," 94†442,00 "," 135†321,00 "," 573†426,00 "," 155†425,00 "," 5†331,00 "," 102,00 "," 226,00 ",23
80,Fresnillo PLC,Miner?a,H,M?xico," 548†332,00 "," 85†444,00 "," 135†249,00 "," 1†180†243,00 "," 402†072,00 "," 6†668,00 "," 74,00 "," 11,00 ",-6
81,Alsea,Restaurantes,H,M?xico," 533†795,00 "," 7†485,00 "," 41†329,00 "," 829†776,00 "," 743†035,00 "," 69†711,00 "," 99,00 "," 86,00 ",18
