 Ranking , Company , Sector ,"G?nero
œÓÎ (ÌÂÚ ‚ ÓÒÌÓ‚ÌÓÈ Ú‡·ÎËˆÂ)", Country , Ventas , neto , oper , Activo ,"Pasivo total (mdp) 
—ÛÏÏ‡ Ô‡ÒÒË‚‡ (‚ ·‡Î‡ÌÒÂ) (ÏËÎÎËÓÌ˚ ÔÂÒÓ)", Empl , Posici?n en el ranking 2020 , Roe , Ranking Ganado 
453,Bolsa Mexicana de Valores,Servicios financieros,H,M?xico," 39†243,00 "," 15†972,00 "," 21†838,00 "," 85†897,00 "," 8†603,00 "," 472,00 "," 431,00 "," 207,00 ",-22
454,M?dica Sur,Servicios de salud,H,M?xico," 39†061,00 "," 13†577,00 "," 6†616,00 "," 6†984,00 "," 20†697,00 "," 2†227,00 "," 413,00 "," 276,00 ",-41
455,Codere M?xico,Juegos y sorteos,H,Espa?a," 3†900,00 ", nd , nd , nd , nd ," 5†000,00 "," 490,00 ", nd ,35
456,Fibra Macquarie M?xico,Servicios inmobiliarios,H,M?xico," 38†476,00 "," 77†916,00 "," 29†659,00 "," 509†069,00 "," 176†846,00 "," 73,00 "," 425,00 "," 235,00 ",-31
457,Assa Abloy M?xico,Materiales y herramientas,H,Suecia," 38†301,00 ", nd , nd , nd , nd ," 1†901,00 "," 455,00 ", nd ,-2
458,Meli? Hotels International,Hoteler?a y turismo,H,Espa?a," 38†272,00 ", nd , nd ," 89†112,00 ", nd ," 1†726,00 "," 478,00 ", nd ,20
459,Compa??a Mexicana de Exploraciones,Petr?leo y gas,-,M?xico," 38†112,00 ", -   ," 1†637,00 "," 54†084,00 "," 19†899,00 "," 800,00 "," 480,00 ", -   ,21
460,Adelnor Grupo Empresarial,Agroindustria,H,M?xico," 3†800,00 ", nd , nd , nd , nd ," 700,00 "," 457,00 ", nd ,-3
461,Grupo Senda,Log?stica y transporte,H,M?xico," 3†800,00 ", nd , nd , nd , nd ," 7†000,00 "," 486,00 ", nd ,25
462,Great Panther Mining M?xico,Miner?a,H,Canad?," 37†665,00 ","-8†569,00 ","-6†755,00 "," 54†033,00 "," 36†027,00 "," 270,00 "," 374,00 ","-476,00 ",-88
463,Grupo HYCSA,Construcci?n,H,M?xico," 37†645,00 "," 2†561,00 "," 4†099,00 "," 42†229,00 "," 28†178,00 "," 620,00 "," 462,00 "," 182,00 ",-1
464,Dongkuk Steel M?xico,Siderurgia y metalurgia,H,Corea," 37†634,00 ", nd , nd , nd , nd , nd ," 487,00 ", nd ,23
465,BUPA M?xico,Seguros y fianzas,H,Reino Unido," 36†319,00 "," 583,00 "," 56,00 "," 3†720,00 "," 30†617,00 "," 637,00 "," 449,00 "," 89,00 ",-16
466,Grupo Famsa,Comercio departamental,H,M?xico," 36†162,00 ","-35†394,00 ","-19†934,00 "," 94†351,00 "," 264†367,00 "," 4†882,00 "," 337,00 ", nd ,-129
467,Helvex,Materiales y herramientas,H,M?xico," 3†590,00 ", nd , nd , nd , nd ," 2†139,00 "," 469,00 ", nd ,2
468,Grupo Witt Automotriz,Automotriz y autopartes,H,M?xico," 3†573,00 "," 89,00 "," 127,00 "," 1†870,00 "," 1†019,00 "," 745,00 "," 436,00 "," 105,00 ",-32
469,Tupperware Brands M?xico,Comercio especializado,H,Estados Unidos," 35†168,00 ", nd , nd , nd , nd ," 1†000,00 "," 377,00 ", nd ,-92
470,Scotia Inverlat Casa de Bolsa,Servicios financieros,H,Canad?," 3†508,00 "," 645,00 "," 855,00 "," 6†432,00 "," 3†430,00 "," 400,00 "," 443,00 "," 215,00 ",-27
471,Grupo Financiero Aserta,Servicios financieros,H,M?xico," 33†725,00 "," 165,00 "," 294,00 "," 81†015,00 "," 58†661,00 "," 350,00 "," 461,00 "," 74,00 ",-10
472,Monex Casa de Bolsa,Servicios financieros,H,M?xico," 3†303,00 "," 174,00 "," 254,00 "," 32†201,00 "," 31†610,00 "," 179,00 "," 466,00 "," 294,00 ",-6
473,Nabors Perforaciones de M?xico,Petr?leo y gas,-,Estados Unidos," 3†300,00 ", nd , nd , nd , nd , nd ," 481,00 ", nd ,8
474,JK Tornel,Automotriz y autopartes,H,India," 32†944,00 ","-166,00 "," 36,00 "," 31†262,00 "," 19†614,00 "," 1†350,00 "," 454,00 ","-14,00 ",-20
475,Corporaci?n Inmobiliaria Vesta,Inmobiliario,H,M?xico," 32†616,00 "," 35†285,00 "," 26†099,00 "," 564†774,00 "," 267†307,00 "," 89,00 "," 458,00 "," 119,00 ",-17
476,Bans?,Servicios financieros,H,M?xico," 3†260,00 "," 569,00 "," 747,00 "," 40†737,00 "," 36†893,00 "," 367,00 "," 477,00 "," 148,00 ",1
477,Exportadora de Sal,Qu?mica y petroqu?mica,H,M?xico," 31†893,00 "," 1†221,00 "," 8†262,00 "," 44†392,00 "," 5†929,00 "," 1†400,00 "," 482,00 "," 32,00 ",5
478,Werner de M?xico,Log?stica y transporte,H,Estados Unidos," 31†727,00 ", nd , nd ," 6†021,00 ", nd ," 500,00 "," 459,00 ", nd ,-19
479,Dana de M?xico Corporaci?n,Armadora,H,Estados Unidos," 31†645,00 ", nd , nd , nd , nd , nd ," 460,00 ", nd ,-19
480,FM Global de M?xico,Seguros y fianzas,H,Estados Unidos," 31†546,00 "," 456,00 "," 221,00 "," 36†716,00 "," 29†204,00 ", nd ," 453,00 "," 61,00 ",-27
481,Caffenio,Alimentos y bebidas,H,M?xico," 3†150,00 ", nd , nd , nd , nd ," 2†800,00 "," 483,00 ", nd ,2
482,FCA Financial Mexico,Servicios financieros,-,M?xico," 3†144,00 "," 1†023,00 "," 1†286,00 "," 17†008,00 "," 10†769,00 ", nd ," 451,00 "," 164,00 ",-31
483,Seguros Ve por M?s,Seguros y fianzas,-,M?xico," 3†139,00 "," 207,00 ","-1†412,00 "," 39†576,00 "," 34†328,00 ", nd ," 474,00 "," 39,00 ",-9
484,Veolia M?xico,Servicios p?blicos,H,Francia," 3†117,00 ", nd , nd , nd , nd ," 2†640,00 "," 475,00 ", nd ,-9
485,RHI Magnesita de M?xico,Qu?mica y petroqu?mica,H,Austria," 31†126,00 ", nd , nd ," 8†332,00 ", nd ," 500,00 "," 479,00 ", nd ,-6
486,FibraHotel,Hoteler?a y Turismo,H,M?xico," 3†110,00 ","-542,00 "," 451,00 "," 162†455,00 "," 55†681,00 ", nd ," 496,00 ","-5,00 ",10
487,Grupo Multisistemas de Seguridad Industrial,Servicios de seguridad,H,M?xico," 30†889,00 "," 208,00 "," 2†084,00 "," 2†179,00 "," 396,00 "," 16†343,00 "," 448,00 "," 117,00 ",-39
488,Brown-Forman Tequila M?xico,Bebidas alcoh?licas y tabaco,H,Estados Unidos," 30†853,00 ", nd , nd , nd , nd ," 211,00 "," 450,00 ", nd ,-38
489,Value Grupo Financiero,Servicios financieros,H,M?xico," 3†072,00 "," 611,00 "," 732,00 "," 20†051,00 "," 13†999,00 "," 125,00 "," 492,00 "," 101,00 ",3
490,Seguros Argos,Seguros y fianzas,H,M?xico," 30†671,00 ","-2†178,00 ","-5†882,00 "," 47†939,00 "," 42†507,00 "," 150,00 "," 468,00 ","-401,00 ",-22
491,Aranzazu - Aura Minerals,Miner?a,H,Estados Unidos," 30†623,00 "," 7†257,00 "," 12†277,00 "," 33†636,00 ", nd , nd ," 497,00 ", nd ,6
492,Corpovael Inmobiliaria,Inmobiliario,H,M?xico," 30†486,00 "," 1†254,00 "," 3†274,00 "," 105†765,00 "," 5†389,00 "," 9,00 "," 456,00 "," 24,00 ",-36
493,Goldman Sachs Casa de Bolsa,Servicios financieros,H,Estados Unidos," 3†020,00 "," 209,00 ","-16,00 "," 63†638,00 "," 53†590,00 "," 30,00 "," 439,00 "," 21,00 ",-54
494,CCL Industries M?xico,Vidrio y envases,H,Canad?," 3†010,00 ", nd , nd , nd , nd , nd ," 485,00 ", nd ,-9
495,KUA,Alimentos y bebidas,H,M?xico," 3†002,00 ","-9,00 "," 146,00 "," 4†029,00 "," 2†308,00 "," 1†327,00 "," 491,00 ","-5,00 ",-4
496,Park-Ohio de M?xico,Maquinaria y equipo,H,Estados Unidos," 3†001,00 ", nd , nd , nd , nd , nd ," 493,00 ", nd ,-3
497,Grupo AGGALL - Coliman,Agroindustria,H,M?xico," 3†000,00 ", nd , nd , nd , nd ," 3†000,00 "," 488,00 ", nd ,-9
498,Axity,Computaci?n y servicios,H,M?xico," 3†000,00 "," 192,00 "," 166,00 "," 4†406,00 "," 2†537,00 "," 3†032,00 "," 464,00 "," 103,00 ",-34
499,Hospitales MAC,Servicios de salud,H,M?xico," 3†000,00 "," 229,00 ", nd ," 6†533,00 "," 3†917,00 "," 2†495,00 "," 498,00 "," 88,00 ",-1
500,Kavak,Automotriz y autopartes,H,M?xico," 3†000,00 ", nd , nd , nd , nd ," 700,00 "," 500,00 ", nd ,0
